Phrase,Form,Role,Type,KeyLexemes
обогнув африку,Vger,предшествующая ситуация,Circum,достигать
обогнув африку,Vger,предшествующая ситуация,Circum,достигнуть
может,Vpraes,возможность,Control,достигать
может,Vpraes,возможность,Control,достигнуть
бы,PART,сослаг.,Gram,достигать
бы,PART,сослаг.,Gram,достигнуть
пока,ADV,длительность,Circum,достигать
пока,ADV,длительность,Circum,достигнуть
казалось,PARENTH,эвиденциальность,Modal,достигать
казалось,PARENTH,эвиденциальность,Modal,достигнуть
уж,ADV,,Modal,достигать
уж,ADV,,Modal,достигнуть
уже,ADV,,Circum,достигать
уже,ADV,,Circum,достигнуть
пока,ADV,,Circum,достигать
пока,ADV,,Circum,достигнуть
не могут,Vpraes,возможность,Control,достигать
не могут,Vpraes,возможность,Control,достигнуть
должно,Abrev,необходимость,Control,достигать
должно,Abrev,необходимость,Control,достигнуть
тоже,PART,тождество,Modal,достигать
тоже,PART,тождество,Modal,достигнуть
действительно,ADV,точность,Circum,достигать
действительно,ADV,точность,Circum,достигнуть
сейчас,ADV,время,Circum,достигать
сейчас,ADV,время,Circum,достигнуть
могут,Vpraes,возможность,Control,достигать
могут,Vpraes,возможность,Control,достигнуть
в среднем,в + Sloc,точность,Circum,достигать
в среднем,в + Sloc,точность,Circum,достигнуть
при этом,при + Sloc,одновременность,Circum,достигать
при этом,при + Sloc,одновременность,Circum,достигнуть
уже в настоящее время,в + Sacc,время,Circum,достигать
уже в настоящее время,в + Sacc,время,Circum,достигнуть
"при некоторых "" благоприятных условиях "", зависящих от сочетания упругих свойств и наличия ослабленных зон ( т. е. тектонических нарушений )",при + Sloc,условие,Circum,достигать
"при некоторых "" благоприятных условиях "", зависящих от сочетания упругих свойств и наличия ослабленных зон ( т. е. тектонических нарушений )",при + Sloc,условие,Circum,достигнуть
при этом при входе реки на территорию раменского района,при + Sloc,место,Circum,достигать
при этом при входе реки на территорию раменского района,при + Sloc,место,Circum,достигнуть
у мужчин и женщин в возрасте 20- 24 лет,у + Sgen,посессор,Circum,достигать
у мужчин и женщин в возрасте 20- 24 лет,у + Sgen,посессор,Circum,достигнуть
могут быть,Vinf,возможность,Control,достигать
могут быть,Vinf,возможность,Control,достигнуть
и,PART,,Modal,достигать
и,PART,,Modal,достигнуть
в сутолоке теней,в + Sloc,сопутствующая ситуация,Circum,достигать
в сутолоке теней,в + Sloc,сопутствующая ситуация,Circum,достигнуть
героически,ADV,достижение цели,Circum,достигать
героически,ADV,достижение цели,Circum,достигнуть
в самом конце великой смуты,в + Sloc,время,Circum,достигать
в самом конце великой смуты,в + Sloc,время,Circum,достигнуть
через полчаса,через + Sacc,время,Circum,достигать
через полчаса,через + Sacc,время,Circum,достигнуть
наконец,PARENTH,неожиданность,Modal,достигать
наконец,PARENTH,неожиданность,Modal,достигнуть
часа через два,через + Sacc,время,Circum,достигать
часа через два,через + Sacc,время,Circum,достигнуть
потом,ADV,последовательность,Circum,достигать
потом,ADV,последовательность,Circum,достигнуть
"прежде, чем я это видел",прежде + чем + Vinf,последующая ситуация,Circum,достигать
"прежде, чем я это видел",прежде + чем + Vinf,последующая ситуация,Circum,достигнуть
к полудню,к + Sdat,время - предел,Circum,достигать
к полудню,к + Sdat,время - предел,Circum,достигнуть
когда,ADVPRO,время,Circum,достигать
когда,ADVPRO,время,Circum,достигнуть
с целью,с + Sins,цель,Modal,достигать
с целью,с + Sins,цель,Modal,достигнуть
там,ADV,место,Circum,достигать
там,ADV,место,Circum,достигнуть
до формального начала совета директоров,до + Sgen,время — предел,Circum,достигать
до формального начала совета директоров,до + Sgen,время — предел,Circum,достигнуть
на госслужбе,на + Sloc ,место,Circum,достигать
на госслужбе,на + Sloc ,место,Circum,достигнуть
ещё осенью,Sins,время,Circum,достигать
ещё осенью,Sins,время,Circum,достигнуть
способностью,S,способность,Control,достигать
способностью,S,способность,Control,достигнуть
можно,PRAEDIC,возможность,Control,достигать
можно,PRAEDIC,возможность,Control,достигнуть
было трудно,PRAEDIC,трудность,Control,достигать
было трудно,PRAEDIC,трудность,Control,достигнуть
позволяет,Vpraes,позволение,Control,достигать
позволяет,Vpraes,позволение,Control,достигнуть
в марте 2003 года,в + Sloc,время,Circum,достигать
в марте 2003 года,в + Sloc,время,Circum,достигнуть
в предельно короткие сроки,в + Sacc,срок,Circum,достигать
в предельно короткие сроки,в + Sacc,срок,Circum,достигнуть
за двадцать лет,за + Sacc,срок,Circum,достигать
за двадцать лет,за + Sacc,срок,Circum,достигнуть
во вверенной вам части,в + Sloc,аспект,Circum,достигать
во вверенной вам части,в + Sloc,аспект,Circum,достигнуть
укреплять,Vinf,,Control,достигать
укреплять,Vinf,,Control,достигнуть
мастерски,ADV,оценка,Circum,достигать
мастерски,ADV,оценка,Circum,достигнуть
при правильном подходе,при + Sloc,условие,Circum,достигать
при правильном подходе,при + Sloc,условие,Circum,достигнуть
планирование,S,план,Control,достигать
планирование,S,план,Control,достигнуть
с помощью новейших технологий,с + помощью + Sgen,способ,Circum,достигать
с помощью новейших технологий,с + помощью + Sgen,способ,Circum,достигнуть
пытаясь,Vger,попытка,Control,достигать
пытаясь,Vger,попытка,Control,достигнуть
так ведь,PART,,Modal,достигать
так ведь,PART,,Modal,достигнуть
например,PARENTH,дискурс,Modal,достигать
например,PARENTH,дискурс,Modal,достигнуть
"как в мире , так и в нашей стране",как + Sx,сравнение,Circum,достигать
"как в мире , так и в нашей стране",как + Sx,сравнение,Circum,достигнуть
к началу xxi века,к + Sdat,время - предел,Circum,достигать
к началу xxi века,к + Sdat,время - предел,Circum,достигнуть
в настоящее время,в + Sacc,время,Circum,достигать
в настоящее время,в + Sacc,время,Circum,достигнуть
"в результате расширения политических, экономических и культурных связей",в + Sloc,причина,Circum,достигать
"в результате расширения политических, экономических и культурных связей",в + Sloc,причина,Circum,достигнуть
к 4- 5-м суткам с момента заражения,к + Sdat,предел,Circum,достигать
к 4- 5-м суткам с момента заражения,к + Sdat,предел,Circum,достигнуть
за 12 мес. 2002 г.,за + Sacc,срок,Circum,достигать
за 12 мес. 2002 г.,за + Sacc,срок,Circum,достигнуть
у нас,у + Sgen,посессор,Circum,достигать
у нас,у + Sgen,посессор,Circum,достигнуть
как и везде в стране,как + ADV,место,Circum,достигать
как и везде в стране,как + ADV,место,Circum,достигнуть
"в середине 1970-х годов , когда поступить на дневное отделение мог лишь каждый четвёртый выпускник средней школы",в + Sloc,время,Circum,достигать
"в середине 1970-х годов , когда поступить на дневное отделение мог лишь каждый четвёртый выпускник средней школы",в + Sloc,время,Circum,достигнуть
"в области диалогического понимания человеческой мысли , человеческих исканий",в + Sloc,сфера,Circum,достигать
"в области диалогического понимания человеческой мысли , человеческих исканий",в + Sloc,сфера,Circum,достигнуть
у них,у + Sgen,посессор,Circum,достигать
у них,у + Sgen,посессор,Circum,достигнуть
иногда,ADV,узуальность,Circum,достигать
иногда,ADV,узуальность,Circum,достигнуть
в пользу соперника,в + Sloc,образ действия,Circum,достигать
в пользу соперника,в + Sloc,образ действия,Circum,достигнуть
в изученной области,в + Sloc,место,Circum,достигать
в изученной области,в + Sloc,место,Circum,достигнуть
там же,ADV,место,Circum,достигать
там же,ADV,место,Circum,достигнуть
в участках перекристаллизации,в + Sloc,место,Circum,достигать
в участках перекристаллизации,в + Sloc,место,Circum,достигнуть
обычно,ADV,узуальность,Circum,достигать
обычно,ADV,узуальность,Circum,достигнуть
почти,ADV,точность,Circum,достигать
почти,ADV,точность,Circum,достигнуть
в этот день,в + Sacc,время,Circum,достигать
в этот день,в + Sacc,время,Circum,достигнуть
"( надзор за законодательством о выборах, беженцах, эпидемиях, охране труда , оружии, защите потребителей , рекламе и т. д.)",S,уточнение,Circum,достигать
"( надзор за законодательством о выборах, беженцах, эпидемиях, охране труда , оружии, защите потребителей , рекламе и т. д.)",S,уточнение,Circum,достигнуть
в некоторых местах,в + Sloc,место,Circum,достигать
в некоторых местах,в + Sloc,место,Circum,достигнуть
при простом сообщении,при + Sloc,одновременность,Circum,достигать
при простом сообщении,при + Sloc,одновременность,Circum,достигнуть
редко,ADV,частота,Circum,достигать
редко,ADV,частота,Circum,достигнуть
как бы,PART,сравнение,Modal,достигать
как бы,PART,сравнение,Modal,достигнуть
была,V,прош.,Gram,достигать
была,V,прош.,Gram,достигнуть
наконец-то,ADV,дискурс,Modal,достигать
наконец-то,ADV,дискурс,Modal,достигнуть
по его мнению,по + Sdat,цитация,Circum,достигать
по его мнению,по + Sdat,цитация,Circum,достигнуть
от посюсторонних и потусторонних бурь,от + Sgen,причина,Circum,достигать
от посюсторонних и потусторонних бурь,от + Sgen,причина,Circum,достигнуть
ещё издали,ADV,расстояние,Circum,достигнуть
вдруг,ADV,неожиданность,Circum,достигнуть
тут-то,ADV,дискурс,Circum,достигнуть
не очень давно,ADV,время,Circum,достигнуть
было,V,связка,Control,доступный
начинали,V,фазовый,Control,дразнить
стал,V,фазовый,Control,дразнить
ходил,V,движение,Control,дразнить
любил,V,эмоция,Control,дразнить
стали,V,фазовый,Control,дразнить
вот,PART,дискурс,Modal,дразнить
не,PART,отрицание,Modal,дразнить
для чего,для + Sgen,цель,Circum,дразнить
зачем,ADV,причина,Circum,дразнить
ещё,ADV,,Modal,дразнить
нарочно,ADV,цель,Circum,дразнить
показывая на них пальцем,Vger,сопутствующая ситуация,Circum,дразнить
привычку,S,,Control,дразнить
всё время,Sacc,длительность,Circum,дразнить
бы,PART,сослаг.,Gram,дразнить
только,PART,ограничит.,Modal,дразнить
нравилось,Vimpers,,Control,дразнить
вздумаем,Vfut,намерение,Control,дразнить
у трактира,у + Sgen,место,Circum,дразнить
за глаза,за + Sacc,образ действия,Circum,дразнить
бескорыстно,ADV,цель,Circum,дразнить
словно,PART,точность,Modal,дразнить
будут,Vfut,буд.,Gram,дразнить
умел,V,способность,Control,дразнить
и,PART,,Modal,дразнить
замечательно,ADV,оценка,Circum,драться
как зверь,как + Sx,сравнение,Circum,драться
как,ADV,образ действия,Circum,драться
в условиях тяжёлых,в + Sloc,фоновая ситуация,Circum,драться
"и в первую , и во вторую мировую",в + Sacc,время,Circum,драться
как львы,как + Sx,сравнение,Circum,драться
добровольно,ADV,образ действия,Circum,драться
в свободное время,в + Sacc,время,Circum,драться
третьи сутки,Sacc,длительность,Circum,драться
разбившись меж собою на полки,Vger,предшествующая ситуация,Circum,драться
ведь,PART,дискурс,Modal,драться
однажды,ADV,узуальность,Circum,драться
сегодня,ADV,время,Circum,драться
пускай,PART,,Modal,драться
пускай,PART,,Modal,подраться
раньше,ADV,время,Circum,драться
раньше,ADV,время,Circum,подраться
тут,ADV,дискурс,Circum,драться
тут,ADV,дискурс,Circum,подраться
разбрасывая всё вокруг,Vger,сопутствующая ситуация,Circum,драться
разбрасывая всё вокруг,Vger,сопутствующая ситуация,Circum,подраться
истово,ADV,степень,Circum,драться
истово,ADV,степень,Circum,подраться
в детстве,в + Sloc,время,Circum,драться
в детстве,в + Sloc,время,Circum,подраться
когда дети каждый за своим компом сидят,когда + CL,одновременность,Circum,драться
когда дети каждый за своим компом сидят,когда + CL,одновременность,Circum,подраться
потрясающе и очень жестоко,ADV,оценка,Circum,драться
потрясающе и очень жестоко,ADV,оценка,Circum,подраться
в деревне,в + Sloc,место,Circum,драться
в деревне,в + Sloc,место,Circum,подраться
не,PART,отрицание,Modal,драться
не,PART,отрицание,Modal,подраться
опять,ADV,узуальность,Circum,драться
опять,ADV,узуальность,Circum,подраться
даже,PART,фокус,Modal,драться
даже,PART,фокус,Modal,подраться
в ресторанах,в + Sloc,место,Circum,драться
в ресторанах,в + Sloc,место,Circum,подраться
почему,ADV,причина,Circum,драться
почему,ADV,причина,Circum,подраться
почаще,ADV,частота,Circum,драться
почаще,ADV,частота,Circum,подраться
уж,ADV,,Modal,драться
уж,ADV,,Modal,подраться
молча,Vger,образ действия,Circum,драться
молча,Vger,образ действия,Circum,подраться
над ними,над + Sins,место,Circum,драться
над ними,над + Sins,место,Circum,подраться
на помойках,на + Sloc ,фоновая ситуация,Circum,драться
на помойках,на + Sloc ,фоновая ситуация,Circum,подраться
пьяными,Ains,депиктив,Circum,драться
пьяными,Ains,депиктив,Circum,подраться
как,ADV,образ действия,Circum,подраться
ни,PART,отрицание,Modal,драться
ни,PART,отрицание,Modal,подраться
после таких вопросов -- так сказанных,после + Sgen,последовательность,Circum,драться
после таких вопросов -- так сказанных,после + Sgen,последовательность,Circum,подраться
сейчас,ADV,время,Circum,драться
сейчас,ADV,время,Circum,подраться
перед телекамерой,перед + Sins,место,Circum,драться
перед телекамерой,перед + Sins,место,Circum,подраться
там,ADV,место,Circum,драться
там,ADV,место,Circum,подраться
на улице,на + Sloc ,место,Circum,драться
на улице,на + Sloc ,место,Circum,подраться
по заборам,по + Sdat,место,Circum,драться
по заборам,по + Sdat,место,Circum,подраться
"тогда, когда вам вздумается",ADV,время,Circum,драться
"тогда, когда вам вздумается",ADV,время,Circum,подраться
в спаянной шайке железнодорожного посёлка,в + Sloc,место,Circum,драться
в спаянной шайке железнодорожного посёлка,в + Sloc,место,Circum,подраться
потому что мне было жалко машку,потому + что + CL,причина,Circum,драться
потому что мне было жалко машку,потому + что + CL,причина,Circum,подраться
целыми днями,Sins,длительность,Circum,драться
целыми днями,Sins,длительность,Circum,подраться
тут же,ADVPRO,одновременность,Circum,драться
тут же,ADVPRO,одновременность,Circum,подраться
от века,от + Sgen,длительность,Circum,драться
от века,от + Sgen,длительность,Circum,себя
не,PART,отрицание,Modal,дремать
под снегом,под + Sins,место,Circum,дремать
как,ADV,образ действия,Circum,дремать
спокойно,ADV,образ действия,Circum,дремать
за стойкой,за + Sins,место,Circum,дремать
снова,ADV,узуальность,Circum,дремать
зажав цигарку в кулаке,Vger,сопутствующая ситуация,Circum,дремать
во время подъёма,в + Sacc,время,Circum,дремать
демонстративно,ADV,образ действия,Circum,дремать
до полудня,до + Sgen,длительность - предел,Circum,дремать
ли,PART,косв.,Modal,дремать
только,PART,ограничит.,Modal,дремать
у многих людей,у + Sgen,посессор,Circum,дремать
постоянно,ADV,узуальность,Circum,дремать
мирно,ADV,оценка,Circum,дремать
"до ночи , до своей поры",до + Sgen,длительность - предел,Circum,дремать
налаживался,V,,Control,дремать
прислонившись к стенке окопа,Vger,положение тела,Circum,дремать
с тех пор,с + Sgen,длительность,Circum,дремать
уж,ADV,,Modal,дрозда
уж,ADV,,Modal,задать
хочу,Vpraes,воля,Modal,дружить
вот,PART,дискурс,Modal,дружить
позвали,V,речь,Control,дружить
долго,ADV,длительность,Circum,дружить
"ещё с театрального училища ,",с + Sgen,время,Circum,дружить
потом,ADV,последовательность,Circum,дружить
буду,Vfut,буд.,Gram,дружить
хочешь,V,волитивный,Control,дружить
не,PART,отрицание,Modal,дружить
очень,ADV,степень,Circum,дружить
больше,ADV,точность,Circum,дружить
собиралась,V,план,Control,дружить
по-хорошему,ADV,образ действия,Circum,дружить
довелось,Vimpers,узуальность,Control,дружить
до конца своей жизни,до + Sgen,длительность - предел,Circum,дружить
пусть,PART,,Modal,дружить
( по отдельности ),по + Sdat,уточнение,Circum,дружить
там,ADV,место,Circum,дружить
давно,ADV,время,Circum,дружить
заставить,Vinf,каузация,Control,дружить
должны,Abrev,необходимость,Control,дружить
могут,Vpraes,возможность,Control,дружить
ведь,PART,дискурс,Modal,дружить
где,ADV,место,Circum,дружить
не то что,PART,отрицание,Modal,дружить
обещал,V,речь,Control,дружить
могу,Vpraes,возможность,Modal,дружить
хотел,V,воля,Control,дружить
только,PART,ограничит.,Modal,дружить
через женщин,через + Sacc,способ,Circum,дружить
-то,PART,,Modal,дружить
и,PART,усиление,Modal,дружить
стоит,Vimpers,,Control,дружить
у вас,у + Sgen,посессор,Circum,дружить
сколько,ADV,длительность,Circum,дунуть
сколько,ADV,длительность,Circum,дуть
по полу,по + Sdat,место,Circum,дунуть
по полу,по + Sdat,место,Circum,дуть
однако,CONJ,противопоставление,Modal,дунуть
однако,CONJ,противопоставление,Modal,дуть
здесь,ADV,место,Circum,дунуть
здесь,ADV,место,Circum,дуть
стремительно,ADV,скорость,Circum,дунуть
стремительно,ADV,скорость,Circum,дуть
за двести лет,за + Sacc,срок,Circum,дунуть
за двести лет,за + Sacc,срок,Circum,дуть
сквозь которую,сквозь + Sacc,траектория,Circum,дунуть
сквозь которую,сквозь + Sacc,траектория,Circum,дуть
из раскрытого окна,из + Sgen,начальная точка,Circum,дунуть
из раскрытого окна,из + Sgen,начальная точка,Circum,дуть
не,PART,отрицание,Modal,дунуть
не,PART,отрицание,Modal,дуть
обжигая лицо,Vger,сопутствующая ситуация,Circum,дунуть
обжигая лицо,Vger,сопутствующая ситуация,Circum,дуть
"и день , и два , и неделю",Sacc,длительность,Circum,дунуть
"и день , и два , и неделю",Sacc,длительность,Circum,дуть
теперь,ADVPRO,время,Circum,дунуть
теперь,ADVPRO,время,Circum,дуть
свирепо,ADV,эмоция,Circum,дунуть
свирепо,ADV,эмоция,Circum,дуть
в самую жару,в + Sacc,время,Circum,дуть
"гадая , по какому блату колюнчик попал в телевизор и чьим внуком для этого назвался",Vger,сопутствующая ситуация,Circum,дуть
завтра,ADV,время,Circum,дуть
конечно же,PARENTH,дискурс,Modal,дуть
давно,ADV,время,Circum,дуть
"привязав себя к трубам вентиляции , к ступеням",Vger,предшествующая ситуация,Circum,дуть
слабо,ADV,степень,Circum,дуть
пять минут,Sacc,длительность,Circum,дуть
летом,Sins,время,Circum,дуть
вот,PART,дискурс,Modal,дуть
после молока,после + Sgen,последовательность,Circum,дуть
после молока,после + Sgen,последовательность,Circum,подуть
здесь,ADV,место,Circum,подуть
который день,Sacc,длительность,Circum,дуть
который день,Sacc,длительность,Circum,подуть
ей,Sdat,бенефициант,Circum,дуть
ей,Sdat,бенефициант,Circum,подуть
по мере приближения этой даты,по + мере + Sgen,причина,Circum,дуть
по мере приближения этой даты,по + мере + Sgen,причина,Circum,подуть
зачем-то,ADV,цель,Circum,дуть
зачем-то,ADV,цель,Circum,подуть
каждый вечер,Sacc,частота,Circum,дуть
каждый вечер,Sacc,частота,Circum,подуть
не,PART,отрицание,Modal,если
не,PART,отрицание,Modal,не
не,PART,отрицание,Modal,ошибаться
будем,Vfut,буд.,Gram,есть
будем,Vfut,буд.,Gram,поесть
не,PART,отрицание,Modal,есть
не,PART,отрицание,Modal,съесть
можете,Vpraes,возможность,Control,есть
можете,Vpraes,возможность,Control,поесть
даже в будни,в + Sacc,время,Circum,есть
даже в будни,в + Sacc,время,Circum,поесть
без соли,без + Sgen,комитатив,Circum,есть
без соли,без + Sgen,комитатив,Circum,поесть
на кухне,на + Sloc ,место,Circum,есть
на кухне,на + Sloc ,место,Circum,съесть
стал,V,фазовый,Control,есть
стал,V,фазовый,Control,съесть
призывает,Vpraes,речь,Control,есть
призывает,Vpraes,речь,Control,съесть
надо,PRAEDIC,необходимость,Control,есть
надо,PRAEDIC,необходимость,Control,поесть
не так много,ADV,интенсивность,Circum,есть
не так много,ADV,интенсивность,Circum,поесть
хочется,Vimpers,воля,Control,есть
хочется,Vimpers,воля,Control,поесть
страшно,ADV,степень,Circum,есть
страшно,ADV,степень,Circum,поесть
много,ADV,количество,Circum,есть
много,ADV,количество,Circum,поесть
с удовольствием,с + Sins,образ действия,Circum,есть
с удовольствием,с + Sins,образ действия,Circum,поесть
не хотелось,Vimpers,волитивный,Modal,есть
не хотелось,Vimpers,волитивный,Modal,поесть
не выпуская его из рук,Vger,образ действия,Circum,есть
не выпуская его из рук,Vger,образ действия,Circum,поесть
"торопясь , давясь , сознавая своё предательство",Vger,образ действия,Circum,есть
"торопясь , давясь , сознавая своё предательство",Vger,образ действия,Circum,поесть
не хочется,Vimpers,воля,Control,есть
не хочется,Vimpers,воля,Control,поесть
хотелось,Vimpers,воля,Control,есть
хотелось,Vimpers,воля,Control,поесть
хорошо,ADV,оценка,Circum,есть
хорошо,ADV,оценка,Circum,поесть
не хочет,Vpraes,воля,Control,есть
не хочет,Vpraes,воля,Control,поесть
сидя,Vger,положение тела,Circum,есть
сидя,Vger,положение тела,Circum,поесть
с мытарями,с + Sins,комитатив,Circum,есть
с мытарями,с + Sins,комитатив,Circum,поесть
не,PART,отрицание,Modal,поесть
не надо,PRAEDIC,необходимость,Control,есть
не надо,PRAEDIC,необходимость,Control,поесть
уже,ADV,,Modal,есть
уже,ADV,,Modal,поесть
на пиру,на + Sloc ,фоновая ситуация,Circum,есть
на пиру,на + Sloc ,фоновая ситуация,Circum,поесть
не может,Vpraes,возможность,Control,есть
не может,Vpraes,возможность,Control,поесть
перестала,V,фазовый,Control,есть
перестала,V,фазовый,Control,поесть
захочет,Vfut,воля,Control,есть
захочет,Vfut,воля,Control,поесть
шумно,ADV,образ действия,Circum,есть
шумно,ADV,образ действия,Circum,поесть
насаживая на них кубики хлеба и макая их в растопленную смесь,Vger,способ,Circum,есть
насаживая на них кубики хлеба и макая их в растопленную смесь,Vger,способ,Circum,поесть
насаживая на них кубики хлеба и макая их в растопленную смесь,Vger,способ,Circum,съесть
осторожно и почтительно,ADV,образ действия,Circum,есть
осторожно и почтительно,ADV,образ действия,Circum,съесть
будем,Vfut,буд.,Gram,съесть
буду,Vfut,буд.,Gram,есть
буду,Vfut,буд.,Gram,съесть
любит,Vpraes,,Control,есть
любит,Vpraes,,Control,съесть
сейчас,ADV,время,Circum,есть
сейчас,ADV,время,Circum,съесть
в нарпитовской столовой,в + Sloc,место,Circum,есть
в нарпитовской столовой,в + Sloc,место,Circum,съесть
только по воскресеньям,по + Sdat,время,Circum,есть
только по воскресеньям,по + Sdat,время,Circum,съесть
хочется,Vimpers,воля,Control,съесть
скучно,ADV,фоновая ситуация,Circum,есть
скучно,ADV,фоновая ситуация,Circum,съесть
запивая молоком,Vger,сопутствующая ситуация,Circum,есть
запивая молоком,Vger,сопутствующая ситуация,Circum,съесть
будет,Vfut,буд.,Gram,есть
будет,Vfut,буд.,Gram,съесть
праздно,ADV,образ действия,Circum,есть
праздно,ADV,образ действия,Circum,съесть
допускали,V,разрешение,Control,есть
допускали,V,разрешение,Control,съесть
пытались,V,попытка,Control,есть
пытались,V,попытка,Control,съесть
где,ADV,место,Circum,есть
где,ADV,место,Circum,съесть
поедом,ADV,степень,Circum,есть
поедом,ADV,степень,Circum,съесть
"в том же порядке , что и при движении в церковь",в + Sloc,образ действия,Circum,ехать
пора,PRAEDIC,,Control,ехать
не,PART,отрицание,Modal,ехать
"сосредоточенно, чуть покачиваясь, прямо и резко освещённые сверху",ADV,образ действия,Circum,ехать
молча и быстро,ADV,звук,Circum,ехать
пока,ADV,,Circum,ехать
снова,ADV,узуальность,Circum,ехать
сейчас,ADV,время,Circum,ехать
больше месяца,Sacc,длительность,Circum,ехать
не могу,Vpraes,возможность,Control,ехать
со скоростью 7 м / с,с + Sins,скорость,Circum,ехать
быстрее,ADV,скорость,Circum,ехать
предполагал,V,ментальный,Control,ехать
довольно долго,ADV,длительность,Circum,ехать
куда бог велит,куда + CL,конечная точка,Circum,ехать
иван матвеич,Snom,обращение,Circum,ехать
с нами,с + Sins,комитатив,Circum,ехать
ноги свесив из открытой теплушки,Vger,положение тела,Circum,ехать
надо,PRAEDIC,необходимость,Control,ехать
сейчас же,ADV,одновременность,Circum,ехать
в такое время,в + Sacc,время,Circum,ехать
завтра после работы,ADV,время,Circum,ехать
потом уже,ADV,последовательность,Circum,ехать
в очередной раз,в + Sloc,узуальность,Circum,ехать
далеко,PRAEDIC,расстояние,Control,ехать
надо было,PRAEDIC,необходимость,Control,ехать
хочется,Vimpers,воля,Control,ехать
повелел,V,каузация,Control,ехать
изволите,Vfut,намерение,Control,ехать
хочу,Vpraes,воля,Modal,ехать
отказался,V,речь,Control,ехать
вполне сообразно своему утилитарному назначению,сообразно + Sdat,способ,Circum,ехать
за версту,за + Sacc,расстояние,Circum,ехать
опять,ADV,узуальность,Circum,ехать
каждый день,Sacc,частота,Circum,ехать
теперь,ADVPRO,время,Circum,ехать
всё равно,ADV,непосредственность,Modal,ехать
хотел,V,воля,Control,ехать
завтре,ADV,время,Circum,ехать
разрешите,Vimper,позволение,Control,ехать
мерным шагом,Sins,скорость,Circum,ехать
однажды,ADV,узуальность,Circum,ехать
раз в неделю,Sacc,узуальность,Circum,ехать
18 марта 1997 года,Sgen,время,Circum,ехать
долгие сутки,Sacc,длительность,Circum,ехать
девять с половиной часов,Sacc,длительность,Circum,ехать
всегда,ADV,узуальность,Circum,жаждать
"в универмаге ""sax fifth avenue""",в + Sloc,место,Circum,жаждать
очень,ADV,степень,Circum,жаждать
не,PART,отрицание,Modal,жаждать
пока,ADV,,Circum,жаловаться
пока,ADV,,Circum,пожаловаться
бессмысленно,PRAEDIC,оценка,Control,жаловаться
бессмысленно,PRAEDIC,оценка,Control,пожаловаться
не,PART,отрицание,Modal,жаловаться
не,PART,отрицание,Modal,пожаловаться
будет,Vfut,буд.,Gram,жаловаться
будет,Vfut,буд.,Gram,пожаловаться
периодически,ADV,частота,Circum,жаловаться
периодически,ADV,частота,Circum,пожаловаться
никогда не,PART,отрицание,Modal,жаловаться
никогда не,PART,отрицание,Modal,пожаловаться
перебивая один другого,Vger,сопутствующая ситуация,Circum,жаловаться
перебивая один другого,Vger,сопутствующая ситуация,Circum,пожаловаться
всё,ADV,узуальность,Circum,жаловаться
всё,ADV,узуальность,Circum,пожаловаться
сморкаясь в передник,Vger,сопутствующая ситуация,Circum,жаловаться
сморкаясь в передник,Vger,сопутствующая ситуация,Circum,пожаловаться
снова,ADV,узуальность,Circum,жаловаться
снова,ADV,узуальность,Circum,пожаловаться
будем,Vfut,буд.,Gram,жаловаться
будем,Vfut,буд.,Gram,пожаловаться
"и то днём, а не по ночам",Sins,время,Circum,жаловаться
"и то днём, а не по ночам",Sins,время,Circum,пожаловаться
иногда,ADV,узуальность,Circum,жаловаться
иногда,ADV,узуальность,Circum,пожаловаться
всю ночь,Sacc,длительность,Circum,жарить
с утра,с + Sgen,длительность,Circum,жарить
с бандитами,с + Sins,комитатив,Circum,жарить
с подъёму,с + Sgen,время - предел,Circum,жарить
несколько дней,Sacc,срок,Circum,жарить
несколько дней,Sacc,срок,Circum,поджарить
несколько дней,Sacc,срок,Circum,пожарить
рано вставши,Vger,предшествующая ситуация,Circum,жарить
рано вставши,Vger,предшествующая ситуация,Circum,поджарить
рано вставши,Vger,предшествующая ситуация,Circum,пожарить
потому,ADV,причина,Circum,жарить
потому,ADV,причина,Circum,поджарить
потому,ADV,причина,Circum,пожарить
над раскалёнными углями,над + Sins,место,Circum,жарить
над раскалёнными углями,над + Sins,место,Circum,поджарить
над раскалёнными углями,над + Sins,место,Circum,пожарить
10 минут,Sacc,длительность,Circum,жарить
10 минут,Sacc,длительность,Circum,поджарить
10 минут,Sacc,длительность,Circum,пожарить
за какие именно грехи,за + Sacc,причина,Circum,жарить
за какие именно грехи,за + Sacc,причина,Circum,поджарить
за какие именно грехи,за + Sacc,причина,Circum,пожарить
перед большим огнём,перед + Sins,место,Circum,жарить
перед большим огнём,перед + Sins,место,Circum,поджарить
перед большим огнём,перед + Sins,место,Circum,пожарить
тут же,ADVPRO,одновременность,Circum,жарить
тут же,ADVPRO,одновременность,Circum,пожарить
периодически поливая мясным соком,Vger,сопутствующая ситуация,Circum,жарить
периодически поливая мясным соком,Vger,сопутствующая ситуация,Circum,пожарить
под крышкою,под + Sins,образ действия,Circum,жарить
под крышкою,под + Sins,образ действия,Circum,пожарить
вчера,ADV,время,Circum,жарить
вчера,ADV,время,Circum,поджарить
вчера,ADV,время,Circum,пожарить
на заводе,на + Sloc ,место,Circum,жарить
на заводе,на + Sloc ,место,Circum,поджарить
на заводе,на + Sloc ,место,Circum,пожарить
хорошо,ADV,оценка,Circum,жарить
хорошо,ADV,оценка,Circum,поджарить
