Имя файла,Ключевые слова (рус),Ключевые слова (англ),ключевые слова (Ruterm)
Boyarsky_IMS_2021_Abstract_eng.txt,,"ITMO University, Problems RAS, Regional Economics, Economics Problems, Stable Phrases, phrasemes, Phrases, homonymy, includes phrasemes, group",
Koltsov_IMS_2014_Abstract_eng.txt,,"Russian LiveJournal, Topic Model, Semantic Relations, Russian, Semantic, topics, LDA Topic, LDA, Interpretation, texts",
Masevich_IMS_2019_Abstract_eng.txt,,"Petersburg State, State University, State Institute, Semantic fields, color designations, Semantic, color, fields, adjectives, Petersburg",
Popov_IMS_2017_Abstract_rus.txt,"ЧЕРНЫЕ ЛЕБЕДИ, ТЕКСТА Работа, ИЗВЛЕЧЕНИЕ РЕДКИХ, РЕДКИХ СОБЫТИЙ, Работа представляет, черных лебедей, важных аспектов, методов извлечения, ЧЕРНЫЕ, ЛЕБЕДИ",,"чёрные лебеди, синтаксические связи, синтаксическая связь, редкие события, размеченный эксперт, предложенное метод, полученные результаты, наша методика, метрика аномальности, корпус текстов"
Kanygin_IMS_2014_Abstract_eng.txt,,"Visualization, Problems, Knowledge, Social, social management, Kanygin, Poltinnikova, visual units, elementary visual, define rules",
Ryabchenko_IMS_2014_Abstract_rus.txt,"данной статье, статье впервые, впервые типологизируются, типологизируются пользователи, пользователи online-социальных, online-социальных сетей, типы пользователей, Границы online-социальных, сетей, типы",,"online-социальные сети, социальнополитическая ситуация, репутационные игроки, модель поведения, лидеры мнений, данная статья, географическая привязка, online-сетевые сообщества, читатели, сенсоры"
Grigoryuk_IMS_2013_Abstract_eng.txt,,"Data Magament, Web Ttechnologies, Experimental Data, Magament, Modern Web, Data, Experimental, Earth Sounding, data-processing system, system",
Belkin_IMS_2024_Abstract_rus.txt,"Пользовательский фидбек, частности поликлиниками, проблемных аспектов, фидбек является, является ценным, ценным источником, источником информации, пользовательских отзывов, отзывов, оказываемых медицинскими",,"пользовательские отзывы, процесс сбора, медицинские учреждения, учреждение здравоохранения, требующие внимание, тематический моделирование, стилистическое разнообразие, сравнительное анализ, сбор данных, сайты поликлиник"
Koshcheeva_IMS_2014_Abstract_rus.txt,"ряд экспериментов, работе описывается, описывается ряд, целью сравнить, сравнить методы, методы автоматического, устойчивых глагольно-именных, глагольно-именных словосочетаний, коллокаций, автоматического выделения",,"ряд экспериментов, автоматическое выделение, цель, учёт, работа, методы, коллокации, выводы"
ChizhikEgorov_IMS_2022_Abstract_rus.txt,"медицинских целей, данной статье, статье представлены, представлены методы, методы построения, построения интеллектуальных, интеллектуальных мультимодальных, мультимодальных помощников, целей, вложений слов",,"эмпатичная беседа, экспериментальная реализация, такие приложения, методы построения, медицинские цели, логистическая регрессия, конкретная цель, данная статья, функциональность, удовлетворение"
Ivanko_IMS_2013_Abstract_eng.txt,,"Delta Cepstral, Shifted Delta, language identification, Cepstral, Shifted, Delta, SDC, research SDC, features problem, Research",
Belinskaya_IMS_2014_Abstract_rus.txt,"докладе представлен, представлен опыт, библиотечно-библиографических процессов, процессов БАН, фондов БАН, БАН, опыт автоматизации, автоматизации библиотечно-библиографических, Научное наследие, наследие России",,"бан, электронное каталог, фактографические бд, оцифровка фондов, опыт автоматизации, библиотечные фонды, библиотечно-библиографические процессы, сохранность, создание, разработка"
Korablinov_IMS_2020_Abstract_eng.txt,,"ITMO University, knowledge bases, Dataset, knowledge, question answering, Research, answering, bases, question, questions",
Moskvina_IMS_2019_Abstract_eng.txt,,"Russian prepositional, Russian, Database, State University, Petersburg State, prepositional phrases, Russian National, prepositional, Araneum Russicum, Russicum Minus",
Tarumova_IMS_2014_Abstract_rus.txt,"Создание информационной, информационной системы, способствовать распространению, распространению знаний, истории печатных, печатных средств, средств массовой, массовой информации, среды Московского, Московского университета",,"человеческая деятельность, сфера образования, социокультурное пространство, современная культура, распространение знаний, печатные средства, научная сфера, московское университет, массовая информация, культурно-образовательная среда"
Pimenov_IMS_2014_Abstract_eng.txt,,"Developing Document, Document Conservation, Developing, Document, Conservation, guide, conservation webguide, Soldatov, acquisition, Webguide",
Zaides_IMS_2017_Abstract_eng.txt,,"meta-communicative units, Russian monological, monological spontaneous, State University, Petersburg State, speech, text, meta-communicative, units, Russian Communication",
Kazakov_IMS_2014_Abstract_rus.txt,"сетевых сервисов, социальными сетями, называемых социальными, социальных сетевых, сервисов, некоторые проблемы, сетевых, работе рассматриваются, рассматриваются некоторые, социальных",,"указанные проблемы, такие сервисы, принципиальные проблемы, описание явления, некоторые проблемы, интеллектуальные агенты, декларируемая миссия, данные проблемы, анализ явления, терминология"
Sokolova_IMS_2017_Abstract_rus.txt,"Keyphrase Extraction, Extraction Algorithm, извлечения ключевых, ключевых слов, KEA, докладе представлены, представлены результаты, KEA широко, извлечения, ключевых",,"ключевые слова, словосочетания, извлечение, русскоязычные тексты, русский язык, результаты работы, результаты применения, представительные корпусы, данный алгоритм, англоязычные тексты"
Temirova_IMS_2017_Abstract_rus.txt,"Национального Полилингвального, Полилингвального Корпуса, создания Национального, работе рассмотрены, рассмотрены предпосылки, Национального, Полилингвального, имени, НПК, предпосылки создания",,"тексты, корпус, широкий поле, тюркская группа, такое корпус, сравнительное анализ, создание словарей, представленные работа, предпосылки создания, определённая сфера"
Kovalevsky_IMS_2013_Abstract_eng.txt,,"Informational support, active seismology, Informational, support, research, active, seismology, Grigoriuk, vibroseismic, support vibroseismic",
Smirnova_IMS_2017_Abstract_rus.txt,"Настоящая статья, содержащей единую, лексических единиц, статья посвящена, посвящена исследованию, корпуса текстов, современном тибетском, тибетском языке, использованием реляционной, реляционной лексической",,"статья, принципы обработки, общенаучные термины, настоящая статья, число, установление, типы, обработка, исследование, использование"
Juk_IMS_2013_Abstract_eng.txt,,"social networks, Anti-Piracy Law, social, Anti-Piracy, analysis, Law, monitoring Comments, networks, laws nom, response analysis",
Chugunov_IMS_2014_Abstract_rus.txt,"Университета ИТМО, НИУ ВШЭ, повестки дня, коллективом Центра, Центра технологий, ИТМО совместно, Лабораторией интернет-исследований, кампуса НИУ, электронного правительства, правительства Университета",,"электронное правительство, тематика, повестка дня, электронные услуги, цель анализа, тематика услуг, специфика формирования, санктпетербургский кампус, публикуемые сообщения, отдельные темы"
Alexeeva_IMS_2015_Abstract_rus.txt,"Автоматическая оценка, социальных наук, больших массивов, является важной, важной задачей, массивов текстов, текстов является, оценка тональности, тональности больших, Автоматическая",,"разметка, эмоциональная оценка, такое анализ, социальные науки, социально-политическая направленность, сами тексты, ресурс http://linis-crowd.org, разметка тональности, прототип словаря, отобранные слова"
Moskvina_IMS_2016_Abstract_rus.txt,"Целью проекта, проекта является, является создание, использованием инструментов, инструментов NLTK, Python, NLTK, создание синтаксического, русского языка, Целью",,"русский язык, синтаксический анализатор, цель проекта, функционал парсера, простое предложения, морфологическая разметка, морфологическая информация, морфоанализатор pymorphy2, категориальные грамматика, данный момент"
Sedova_IMS_2017_Abstract_eng.txt,,"Lexical Constructions, Constructions, Lemmata, Lexical, Topic Modelling, State University, Petersburg State, Russian Texts, Topic, Modelling",
Chizhik_IMS_2021_Abstract_eng.txt,,"Public Mood, Indicating Trends, Topic Models, Comparing LDA, Mood, Models, Indicating, Trends, Public, LSA",
Vidyasova_IMS_2014_Abstract_eng.txt,,"Government Data, Open Government, Government, Data, Discussions Research, Open, Media Discussions, Russia, Social, Russian Federation",
Vozmishcheva_IMS_2014_Abstract_rus.txt,"Обсуждаются научно-методические, билингвистической модели, английский язык, научно-методические аспекты, аспекты двуязычного, математическим дисциплинам, техническом вузе, основе билингвистической, двуязычного обучения, обучения математическим",,"условия вхождения, технический вуз, средство обучения, развитие навыков, отечественное образование, основная особенность, общенациональные знания, образовательная система, научно-методические аспекты, межкультурный общение"
Chekmeneva_IMS_2018_Abstract_rus.txt,"корпусных исследований, данной работе, работе автор, автор исследует, исследует проблему, проблему употребления, употребления метафорических, метафорических цветообозначений, русском языке, основе корпусных",,"русский язык, проблема употребления, обозначающие цвет, метафорические цветообозначения, корпусные исследования, данная работа, абстрактные существительные, прилагательные-цветообозначения, основа, корреляция"
Temirova_IMS_2017_Abstract_eng.txt,,"ABUSUPYAN AKAYEV, NATIONAL MULTILINGUAL, MULTILINGUAL CORPUS, ABUSUPYAN, CORPUS, State University, CORPUS NAMED, Moscow State, MULTILINGUAL, AKAYEV",
Markarova_IMS_2013_Abstract_eng.txt,,"Education, Scientific, Pedagogical Library, Scientific Pedagogical, Library, Pedagogical, Essential Part, Electronic Scientific, Modern Education, Modern",
Kriukova_IMS_2017_Abstract_rus.txt,"русском языке, данной работе, работе рассматривается, рассматривается проблема, семантической близости, DKPro Similarity, близости текстов, проблема оценки, оценки семантической, текстов",,"тестовая выборка, русский язык, результаты работы, проблема оценки, преимущества использования, полученные значение, одна группа, новостные тексты, машинное обучение, линейные модели"
Grigoryuk_IMS_2013_Abstract_rus.txt,"концептуальные основы, докладе рассматриваются, рассматриваются концептуальные, программное обеспечение, обеспечение web-ориентированной, web-ориентированной информационно-вычислительной, информационно-вычислительной системы, управления структурированными, вычислительных экспериментов, неструктурированными данными",,"управление, данные, эффективная работа, ход экспериментов, программное обеспечение, предложенная архитектура, практическая реализация, неструктурированные данные, концептуальные основы, качество примера"
Ivanko_IMS_2013_Abstract_rus.txt,"идентификации языка, статье представлены, представлены результаты, результаты работы, изучению признаков, признаков SDC, целей идентификации, языка, SDC, признаках SDC",,"экспериментальный подтверждение, результаты работы, полученные результаты, первое упоминание, первая работа, основной цель, многие детали, данная статья, статья, создание"
Smirnov_IMS_2014_Abstract_eng.txt,,"Optical Character, Design Features, Mass Optical, Character, Features, Optical, mass OCR, Design, Mass, archival documents",
Zakharov_IMS_2015_Abstract_rus.txt,"статье описываются, описываются экспериментальные, экспериментальные исследования, исследования устойчивости, устойчивости словосочетаний, количественной оценки, диахронии, Количественная оценка, статье, описываются",,"количественная оценка, такой требования, статистическая информация, проблема верификации, потенциальные возможности, основа корпусов, математические методы, лингвистические данные, корпус текстов, достоверность данных"
Chizhik_IMS_2023_Abstract_rus.txt,"настроения общества, способна выявлять, вектор социального, социального настроения, актуальных задач, Анализ тональности, текстов является, Анализ, задач, факторы",,"использование, целые предложения, социальные сети, метрики качества, машинное обучение, короткие сообщения, задача методов, дистрибутивная семантика, дизайн исследования, данная статья"
Artemova_IMS_2015_Abstract_eng.txt,,"poorly formalized, formalized domains, information extractiing, building, University, Specifics, Petersburg Institute, formalized, information, ontology building",
Novolodskaya_IMS_2013_Abstract_eng.txt,,"Media Communication, Media, Internet, Communication, communication process, space, virtual space, virtual, main form, Novolodskaia",
Peskova_IMS_2013_Abstract_rus.txt,"кривой Hype, моделей развертывания, набор требований, облачным службам, результаты технологических, технологических прогнозов, статье приведены, моделей сервиса, приведены набор, Hype",,"облачные технологии, облачные сервисы, юридические проблемы, три категориям, технологические прогнозы, организационные проблемы, облачный службы, облачные вычисления, набор требований, модели сервиса"
Brodovskaya_Karzubov_IMS_2014_Abstract_rus.txt,"политические партии, политические лидеры, помимо традиционных, сетевые имиджи, Практики электронной, электронного голосования, предоставляющие государственные, государственные услуги, активно позиционирующие, лидеры выстраивающие",,"электронное голосование, электронная демократия, характер изменений, социальные сети, сетевые имиджи, проправительственные структуры, политологический сообщество, политические системы, политические партия, политические лидеры"
Vozmishcheva_IMS_2014_Abstract_eng.txt,,"Training Technologies, Bilingual Training, Higher Mathematics, Technologies, Bilingual, Development, Training, model, technical universities, bilingual model",
Mbogo_IMS_2013_Abstract_eng.txt,,"Scientific Direction, Interdisciplinary Scientific, information system, Complex Information, Information, Interdisciplinary, Scientific, Complex, Direction, system",
Borisov_Shustrova_IMS_2014_Abstract_eng.txt,,"Contemporary Theater, Olga Shustrova, Theater, Nikolai Borisov, theater projects, Contemporary, Internet, general theater, internet space, Borisov",
Peskova_IMS_2014_Abstract_rus.txt,"первую очередь, электронного голосования, возможные риски, электронного, голосования, статье рассмотрены, рассмотрены возможные, голосования Эстонии, очередь, дистанционного",,"электронное голосование, существующие решение, существующие методы, средства организации, разные страны, проблемы систем, подобные системы, первая очередь, общая классификация, возможные риски"
Soms_IMS_2014_Abstract_eng.txt,,"Processing Tools, Information Resources, Natural Language, Language Processing, User Preferences, Tools, Information, Language, Natural, Processing",
Solovjova_IMS_2013_Abstract_eng.txt,,"educational material, Internet, questions, educational, material, Mediadidactics, learning, multimedia educational, development, requirements",
Akatkin_IMS_2014_Abstract_rus.txt,"Развитие ИТ-импортозамещающих, ИТ-импортозамещающих производств, производств является, является одним, стандартов моделей, моделей данных, информацией, обмена информацией, стратегических информационных, информационных системах",,"информация, обмен, техногенные катастрофы, такие направления, перспективы ит-импортозамещения, основа применения, налоговая информация, международный обмен, международное сотрудничество, конкретные направления"
Azarova_IMS_2016_Abstract_rus.txt,"тыс, свободной лицензией, русского языка, отсутствует большой, большой открытый, русского, языка, открытый тезаурус, лицензией, тезаурус русского",,"русский язык, 30 тыс, синсеты, сочетание подходов, словарные единицы, семантические связи, сегодняшний день, свободная лицензия, результат проекта, работа экспертов"
Bershadskaya_IMS_2013_Abstract_eng.txt,,"Demand, Analysis, Social, article presents, E-Government, discussion, E-Government Services, social networks, monitoring service, article",
Moiseichev_IMS_2013_Abstract_rus.txt,"свободных лицензий, Открытых образовательных, образовательных ресурсах, рассматриваются вопросы, российских условиях, применения свободных, работе рассматриваются, целью изучения, изучения лучшего, лучшего зарубежного",,"свободные лицензии, применение, цель изучения, три этапа, три плоскостях, свободная лицензия, российские условия, рассмотрение понятия, рамки модели, поставленная проблематика"
Pijavskij_IMS_2013_Abstract_rus.txt,"Рассматривается новый, информационном пространстве, новый подход, использования фактографической, вопросу систематизации, систематизации, фактографической информации, Рассматривается, пространстве, информации",,"фактографическая информация, технология накопления, существующий разработки, систематизация знаний, оптимальная систематизация, область представления, новый подход, математические модель, информационный пространство, информационно-поисковый системы"
Koltsova_IMS_2013_Abstract_eng.txt,,"Topical Portrait, Sergei Koltcov, Livejournal, Olessia Koltsova, Statisical, Topical, Portrait, properties, Russian, Russian blogosphere",
Mikoni_IMS_2018_Abstract_eng.txt,,"concepts, connection, role, Petersburg Institute, Russian Academy, generic connection, Stanislav Mikoni, degree, analysis, roles",
Khokhlova_IMS_2017_Abstract_eng.txt,,"Collocational Preferences, Comparative Analysis, Analysis, Russian Nouns, Association Measures, Measures based, Collocational, Comparative, Preferences, State University",
Kirillova_IMS_2018_Abstract_rus.txt,"статье описан, описан эксперимент, Dialogue Evaluation, тестированию гибридного, гибридного морфоанализатора, морфоанализатора, статье, описан, эксперимент, тестированию",,"тестирование, opencorpora, художественные тексты, ход исследования, формат pymorphy2, социальные сети, ряд задач, русский язык, результаты тестирования, основа подкорпусов"
Pivovarova_IMS_2016_Abstract_rus.txt,"Целью исследования, терминологического словаря, исследования является, является разработка, выделения кандидатов, параллельного корпуса, разработка методики, методики выделения, Целью, многоязычного",,"термины, база, цель исследования, терминологическое словарь, разработанная методика, проверка алгоритма, переводные соответствия, морфосинтаксические шаблоны, меры ассоциации, два этапа"
Trakhtenberg_IMS_2014_Abstract_rus.txt,"статье рассматриваются, рассматриваются причины, причины организационного, организационного сопротивления, медицинских, сопротивления сотрудников, медицинских информационных, медицинских учреждений, информационных систем, статье",,"внедрение, экспертное знание, цель информатизации, формальное контроль, система управления, рядовые сотрудники, профессиональная автономия, невыполнимые требования, медицинские учреждения, медицинская профессия"
Boyarsky_IMS_2017_Abstract_eng.txt,,"Ambiguous Collocations, Collocations Equivalent, Collocations, ITMO University, Petersburg Institute, Mathematics RAS, Word, words, Ambiguous, Equivalent",
Brodovskaya_Karzubov_IMS_2014_Abstract_eng.txt,,"Cross-National Studies, Internet, Studies, Internet Communication, political, Russian Experience, Internet services, Specificity, Cross-National, Internet users",
Vidyasova_IMS_2014_Abstract_rus.txt,"государственных данных, открытых государственных, Российской Федерации, Рассматривается современная, проанализированы лучшие, использовании гражданами, проведено исследование, социальных сетях, оценены перспективы, современная российская",,"социальные сети, российская федерация, дальнейшее развитие, удобство, россия, предмет, перспективы, область, использование, граждане"
Lipuntsov_IMS_2013_Abstract_eng.txt,,"Education Domain, Information Excange, Education, Excange, Domain, data, Information, model, data model, Lipuntsov",
Markarova_IMS_2013_Abstract_rus.txt,"Научно-информационное обеспечение, инновационных процессов, науки четко, четко коррелирует, основными принципами, принципами инновационных, развития современного, современного общества, обеспечение педагогической, педагогической науки",,"образование, педагогика, ушинский рао, создание библиотеки, современное общество, система обучения, сегодняшнее общество, разнородность отрасли, простая задача, практико-ориентированные направления"
Erkimbaev_IMS_2015_Abstract_eng.txt,,"subject area, Nanomaterials ant, High Temperatures, Computing Centre, Uniform Description, Description System, RAS,Dorodnicyn Computing, Ontology, Nanomaterials, area",
Mbogo_IMS_2014_Abstract_rus.txt,"научных исследований, Настоящая статья, пространство научных, статья рассматривает, рассматривает решение, решение проблем, проблем аккумуляции, информационное пространство, научных электронных, электронных коллекций",,"электронные материалы, технологии представления, существующие стандарты, современное общество, основа анализа, научные исследования, научная конференция, научная информация, настоящая статья, информационное пространство"
Grebennikov_IMS_2020_Abstract_eng.txt,,"Early XX-century, Stories Corpora, Russian Short, Short Stories, Russian, XX-century Russian, Stories, Corpora, Early, frequency",
Bogoraz_IMS_2013_Abstract_eng.txt,,"Comparative analysis, firewalls, Comparative, methodologies, main Russian, analysis, assessment, Peskova, main, techniques",
Trakhtenberg_IMS_2013_Abstract_rus.txt,"статье рассматриваются, рассматриваются результаты, результаты тестирования, методом cognitive, cognitive walkthrough, применением модели, модели адаптации, адаптации инноваций, тестирования Портала, Портала государственных",,"электронные услуги, сложность освоения, представители власти, основные барьеры, низкая совместимость, государственные услуги, статья, роджёрса, ран, проект"
Shukshina_IMS_2018_Abstract_eng.txt,,"color, Russian Language, relative, relative colors, hues, relative hues, color terms, colors, Russian, frequency",
Boyarsky_IMS_2019_Abstract_eng.txt,,"Semantic Disambiguation, Russian Texts, ITMO University, Problems RAS, Regional Economics, Economics Problems, Toponyms, Issue, Semantic, Disambiguation",
Vtiurina_IMS_2014_Abstract_eng.txt,,"National e-Services, e-Services Portal, Russia, National, Portal, development, Russian Federation, e-Services, development EGPU, e-government",
Kuznetsova_IMS_2020_Abstract_eng.txt,,"biotechnology terms, ESP, biotechnology, ITMO University, teaching biotechnology, Polytechnic University, undergraduates majoring, corpora, Petersburg Polytechnic, teaching ESP",
MitrofanovaGolubev_IMS_2024_Abstract_rus.txt,"корпусной лингвистике, статье представлены, обучению семейства, семейства тематических, кафедре математической, математической лингвистики, лингвистики СПбГУ, корпуса текстов, тематических моделей, представлены результаты",,"экспертная разметка, тематический моделирование, результаты экспериментов, распределение докладов, помощь меток, обучение семейства, назначение меток, корпусная лингвистика, информационно-поисковая система, ткикл"
Kalinichenko_IMS_2014_Abstract_eng.txt,,"Petersburg, Information technology, forecasting, development, state development, Information, state, regional development, technology, social",
Golitsina_IMS_2021_Abstract_rus.txt,"Представлены результаты, результаты эксперимента, слабоструктурированных текстах, рамках задачи, задачи семантического, семантического индексирования, Определение понятия, отношений, текстов документов, выявлению определений",,"определение понятия, отношения, элементарные факты, типы отношений, таксономия отношений, сопоставимость смыслов, соответствующие триплеты, содержание текста, ситуативные отношения, результаты эксперимента"
Sokolova_IMS_2020_Abstract_eng.txt,,"relations, discourse, Research University, relations set, rhetoric relations, Higher School, set, relation, discourse units, discourse relations",
Kanygin_IMS_2015_Abstract_eng.txt,,"Social Management, Document Flow, Context-Oriented Ontology, Management, Foundation, Social, Ontology, Context-Oriented, Document, Flow",
Kazakov_IMS_2014_Abstract_eng.txt,,"Social Network, Network Services, Platform Organization, Social, Services, Network, networks, Terminology, problems, Phenomena",
Adaskina_IMS_2015_Abstract_eng.txt,,"State University, Semi-Automatic Classification, Petersburg State, Classification, Unbalanced, Corpus, Unbalanced Corpus, Semi-Automatic, unbalanced text, Adaskina",
Zalesskaya_IMS_2014_Abstract_eng.txt,,"Extracting Two-word, Extracting, Russian Texts, Significant Meaningful, extraction, Statistically Significant, Russian, Program, Significant, Meaningful",
Boykov_IMS_2013_Abstract_rus.txt,"Описывается логико-семантическая, являющегося определенной, русской поэзии, определенной предзаданной, предзаданной онтологией, системообразующим ядром, ядром проектируемой, проектируемой информационно-аналитической, информационно-аналитической системы, системы русской",,"системообразующее ядро, русская поэзия, поэтические тексты, логико-семантическая модель, данный тезаурус, аналитическая обработка, требования, тезаурус, поэтология, модель"
Popov_IMS_2017_Abstract_eng.txt,,"ANOMALOUS EVENT, EVENT DETECTION, BLACK SWANS, BLACK, SWANS, ANOMALOUS, DETECTION, EVENT, important aspects, text corpora",
Baranov_IMS_2014_Abstract_rus.txt,"Российской Федерации, сформулированы существенные, данного процесса, статье представлен, представлен анализ, анализ опыта, опыта формирования, существенные барьеры, перспективные направления, направления развития",,"электронный регион, электронное правительство, существенные барьеры, ростовская область, российская федерация, региональное сегмент, информационно-аналитическая система, данный процесс, статья, внедрение"
Martynenko_IMS_2018_Abstract_rus.txt,"русского рассказа, контексте социальных, социальных потрясений, потрясений первой, первой трети, рассматриваются революционные, революционные изменения, русском языке, художественной литературе, материале русского",,"русский рассказ, материал, художественная литература, теоретические предпосылки, социальные потрясения, системные идеи, санкт-петербургский университет, русский язык, революционные изменения, размер статьи"
Belkin_IMS_2015_Abstract_eng.txt,,"knowledge, subject domain, knowledge space, Semantic, knowledge domains, domains knowledge, domain, subject, Historical demography, domains",
Yatsenko_IMS_2014_Abstract_rus.txt,"Веб информационная, Описывается опубликованная, Электронная структура, информационная система, структура атомов, Электронная, Веб, атомной спектроскопии, атомов, Описывается",,"состояние работ, подобные ресурсы, перевод системы, организация взаимодействия, информационная система, другие ресурсы, высокое разрешение, атомная спектроскопия, спектроскопия, связь"
Popova_IMS_2017_Abstract_rus.txt,"повседневной речи, статье рассматривается, рассматривается специфика, русской повседневной, русского языка, корпуса русского, специфика употребления, употребления редуплицированной, редуплицированной единицы, единицы такой-сякой",,"русский язык, ход анализа, функциональная значимость, устный подкорпус, специфика употребления, редуплицированная единица, особенности употребления, национальное корпус, источник материала, звуковой корпус"
Prokudin_IMS_2013_Abstract_rus.txt,"электронного государства, Развитие информационного, реализация концепции, рода проблемы, концепции электронного, электронного правительства, информационного общества, правительства сопровождают, сопровождают различного, различного рода",,"информационное общество, проблемы, электронное правительство, электронное государство, реализация концепции, различное род, органы власти, образовательное интернет-портал, муниципальные услуги, анализ проблем"
Rogov_IMS_2020_Abstract_eng.txt,,"Dostoevsky, texts, decision trees, State University, text, strong positions, text fragments, Literary Texts, decision, Fragments",
Goryunova_IMS_2017_Abstract_eng.txt,,"subject areas, representing ontologies, specialized subject, UML language, UML, main principles, areas, formal instances, domain ontology, modeling",
Masevich_IMS_2019_Abstract_rus.txt,"Настоящая работа, русском языке, работа предлагает, предлагает подход, системному описанию, описанию цветобозначений, прилагательных, поля, Sketch Engine, цвета",,"основа, такой образ, стандартные термины, слово поля, семантические поля, семантические поле, семантические особенности, сводные таблица, русский язык, пятьдесят слов"
Pevzner_IMS_2015_Abstract_eng.txt,,"Additional functions, web sites, Additional, functions, web, Pevzner, sites, main functions, traffic, Internet advertising",
Prokudin_IMS_2014_Abstract_eng.txt,,"Scientific, Scientific Research, Implementation, Information System, Research, support scientific, Support, Information, scientific activity, Integrated Information",
Boikov_IMS_2018_Abstract_rus.txt,"работе выстраивается, выстраивается формальная, богатству созвучия, основе формально-языковой, формально-языковой модели, рифмующихся слов, модели рифмующихся, формальная классификация, классификация типов, типов рифмы",,"стиховой текст, рифмующиеся слова, рифмы, формально-языковой модель, полученная классификация, очевидная процедура, классификационный код, богатство созвучия, атрибут спецификации, автоматическое поиск"
Boyarsky_IMS_2013_Abstract_eng.txt,,"Pre-syntactical module, module, parser, Pre-syntactical, SemSin, work pre-syntactical, ambiguity, Boyarsky, Kanevsky, analyzer SemSin",
Balakshina_IMS_2014_Abstract_eng.txt,,"Perspectives, Development, Financial Accounting, System, electronic documents, Accounting System, Russian Federation, Commercial Banks, Electronic, Financial",
Erkimbaev_IMS_2015_Abstract_rus.txt,"Uniform Description, Description System, System for, информационную модель, for nanomaterials, группой экспертов, создания новой, предложено использовать, использовать информационную, разработанную международной",,"свойства, российская онтология, разработанные онтологии, объёмный наноматериалы, область материаловедения, новые объекты, новая онтология, информационная модель, главные достоинство, возможность расширения"
